,0,1,2,3
0,BC,PE HONO,OB,5972.94
1,BC,PE HONO,OB,6782.55
2,BC,PE HONO,OB,7025.05
3,CC,PE HONO,OB,4829.56
4,CC,PE HONO,OB,4829.56
5,CH,PE HONO,OB,4829.56
6,CH,PE HONO,OB,5678.71
7,CH,PE HONO,OB,4829.56
8,CH,PE HONO,OB,4829.56
9,CH,PE HONO,OB,5730.83
10,CH,PE HONO,OB,4829.56
11,CL,PE HONO,OB,5972.94
12,CS,PE HONO,OB,777.7
13,GR,PE HONO,OB,4829.56
14,GR,PE HONO,OB,5678.71
15,JC,PE HONO,OB,6819.1
16,JC,PE HONO,OB,5125.08
17,MN,PE HONO,OB,4829.56
18,MN,PE HONO,OB,4829.56
19,MN,PE HONO,OB,6819.1
20,MN,PE HONO,OB,5125.08
21,MX,PE HONO,OB,6208.85
22,MX,PE HONO,OB,4829.56
23,MX,PE HONO,OB,4829.56
24,MX,PE HONO,OB,777.7
25,MX,PE HONO,OB,9656.01
26,MX,PE HONO,OB,8231.85
27,NL,PE HONO,OB,4829.56
28,NL,PE HONO,OB,4362.51
29,OC,PE HONO,OB,6208.85
30,OC,PE HONO,OB,7312.18
31,OC,PE HONO,OB,4362.51
32,OC,PE HONO,OB,8154.8
33,OC,PE HONO,OB,4829.56
34,OFC,PE HONO,OB,6211.21
35,QR,PE HONO,OB,5972.94
36,QT,PE HONO,OB,4829.56
37,QT,PE HONO,OB,4829.56
38,SL,PE HONO,OB,4829.56
39,TS,PE HONO,OB,6252.11
40,TS,PE HONO,OB,5972.94
41,TS,PE HONO,OB,7912.98
42,TS,PE HONO,OB,5972.94
43,VZ,PE HONO,OB,5678.71
44,VZ,PE HONO,OB,4829.56
45,YN,PE HONO,OB,6819.1
46,YN,PE HONO,OB,4829.56
